SpinalErector_FaseInicialFilter,SpinalErector_FaseFinalFilter
-0.000510869,-0.000573695
-0.001076534,-0.003458564
0.003770323,0.000406822
0.012772727,0.001704148
0.013701309,0.000674503
0.008834901,0.001838807
0.005915002,-0.000904752
0.003355772,-0.003494185
0.005209075,-0.000574036
0.009342171,0.000124328
0.006498128,-0.004141149
0.005263796,-0.008885075
0.008206215,-0.007518893
0.003861403,-0.001346603
-0.001413662,-0.000550816
-2.36E-05,0.001321227
0.000317341,0.007850988
-0.001377812,0.004704012
-0.000903211,0.00095608
-0.001967919,0.005298979
-0.005961122,0.000325794
-0.006998825,-0.004876413
-0.007264917,0.002808754
-0.010163333,0.002189114
-0.006935538,-0.004580978
-0.003039922,0.00220664
-0.008073579,0.007258518
-0.004717984,-0.000931463
0.004723645,-0.005087502
-0.002785466,-0.001229261
-0.008851345,-0.001279117
0.004104003,-0.00396778
0.011454598,-0.003201098
0.005624168,-0.000736505
0.002599554,0.003325416
0.002673203,0.004870011
0.002168801,-0.000857042
0.001299445,-0.002006474
-0.000457125,0.00440833
0.001256203,0.002948753
0.004154921,-0.003456351
0.003144518,-0.003318251
0.004428015,-0.001251728
0.006053636,0.000736153
0.000287781,0.004874795
-0.00311246,0.006242514
0.001053904,0.003099933
0.001030594,-0.000278576
-0.005095645,-0.00246473
-0.008693148,-0.006200168
-0.007270974,-0.008474829
-0.00563906,-0.003060707
-0.00654066,0.001226954
-0.002851876,-0.003239221
0.005860011,-0.003800856
0.008094654,0.002118907
0.00591335,0.003497142
0.005522535,0.00446164
0.001496395,0.007330306
-0.00177145,0.00285634
-0.001164703,-0.003322516
-0.006412248,-0.001075111
-0.008643111,0.000986323
0.000376477,-0.003497301
0.004930937,-0.001841133
0.004967095,0.007884523
0.007820668,0.006561791
0.004454283,-0.003675414
-0.001086993,-0.003215434
-0.000893544,-0.000895196
-0.001960258,-0.007167069
-0.004399696,-0.005947628
-0.004242201,0.002171268
-0.004673404,0.001837968
-0.004835531,-0.000536532
0.001456649,0.003192007
0.009213529,0.006829813
0.005022459,0.004130303
-0.003077417,-0.001627518
0.000867735,-0.000905847
0.00443207,0.001065753
-0.002607273,-0.003542285
-0.00427185,-0.004143025
0.002287909,-0.001883634
0.001786718,-0.004644154
-0.005309722,-0.00369424
-0.007303624,-0.000690134
-0.003097666,-0.000334163
0.001320981,0.00372641
0.001671424,0.005253997
-0.004344808,0.001450847
-0.008393551,0.002258993
0.001279892,0.003899632
0.01123809,0.000683967
0.007650674,0.000243466
0.007929615,0.002865508
0.013079945,0.000226702
0.005490003,-0.002739003
-0.001970585,2.17E-05
-0.003666946,-0.000218598
-0.011426962,-0.002849342
-0.010627631,-0.001215348
-0.00064415,-0.003080157
-0.001508945,-0.005075602
-0.004077957,0.003020805
-0.000811723,0.006806563
0.000817857,-0.000699055
0.003463857,-0.003829856
0.002385032,-0.002261744
-0.002824501,-0.002912998
0.000682824,-0.003115219
0.005158266,-0.002872394
0.001184425,0.000765678
0.000422983,0.00467863
0.002678935,0.000365082
-0.001630946,0.000278067
-0.003488111,0.009137986
0.002407206,0.009856268
0.002988417,0.004514415
-0.002102297,0.000967118
-0.002342962,-0.005150348
-0.001092812,-0.006954566
-0.002039729,-0.005695141
-0.002551087,-0.009913092
-0.002520375,-0.003826595
0.000365,0.007437543
0.00301722,-0.000567769
-0.000266834,-0.006152641
-0.002129057,0.004076528
0.000356492,0.004030668
-0.000192336,0.000698001
0.000634718,0.006947328
0.007298918,0.005154077
0.008122116,-0.001512542
0.000202951,-0.000876511
-0.002765579,0.000298117
-0.001541995,0.000667494
-0.005029202,0.000794663
-0.002319279,-0.001904647
0.008535627,-0.002474768
0.008796378,0.000476883
-0.000889697,0.001406181
-0.005886945,-0.001987551
-0.004341456,-0.004911321
-0.004705915,-0.002580491
-0.009967148,0.00061709
-0.006951519,0.000828442
0.001510619,-0.000466364
-0.00134472,-0.002665511
-0.001317598,-0.002163201
0.006119341,0.001500301
0.003334016,0.002811644
0.00267094,0.001498247
0.007912701,-0.000248434
0.004962379,-0.000621329
0.004268157,0.00057062
0.004266506,-0.000887727
-0.001984655,-0.002563613
-0.001816112,-0.000317998
-0.002491515,0.001446882
-0.005546463,0.002489284
0.000983431,0.003948119
-0.000621265,0.002579622
-0.008904203,0.000913065
-0.002846839,0.000561458
0.001216449,0.000283518
-0.00268056,0.000451957
-0.000479035,-0.003757962
0.001991839,-0.007590843
0.004846719,0.001874021
0.007046114,0.012017308
0.000651793,0.006585322
-0.001061084,0.000290974
0.003060614,0.001138176
-0.000745389,-0.002624413
-0.003434478,-0.006771221
-0.001028558,-0.006134861
-0.003146814,-0.006401308
-0.004416929,-0.003049692
-0.001109097,0.000138674
0.001451359,-0.005817755
0.004385519,-0.009908201
0.004501194,-0.006749532
-0.000568075,0.000672452
-0.001422203,0.01229346
-7.34E-06,0.014674142
-0.0022415,0.005811633
-0.000750681,0.000642021
0.000875535,-0.000779506
-0.00144324,0.002169911
0.000146236,0.008566547
-0.000764202,0.005724863
-0.004396578,-0.000770704
7.97E-05,-0.002966901
0.004020162,-0.00699823
