Cervical_FaseInicialFilter,Cervical_FaseFinalFilter
-0.002417256,-0.002909891
-0.014474529,-0.012667948
-0.013071514,-0.00194652
-0.009337904,0.004253758
-0.007433544,-0.005810629
0.001400667,-0.018951728
0.010898361,-0.022174232
0.015221068,-0.003238032
0.022834092,0.018850139
0.03438025,0.016503262
0.038890211,0.001646212
0.035213142,-0.005700374
0.030383103,-0.001588741
0.026199677,0.010498126
0.017428914,0.017486565
-0.00390894,0.010612546
-0.025893037,-0.000263598
-0.028967968,-0.004620738
-0.026963527,-0.010372819
-0.031751,-0.020810315
-0.027718296,-0.020490458
-0.018507184,-0.006478366
-0.018637663,0.009065208
-0.021313826,0.01397898
-0.017699638,0.001846281
-0.009884652,-0.011218355
-0.006260997,-0.016120247
-0.006361444,-0.025432875
0.004174363,-0.024622897
0.021052095,0.002032678
0.023824005,0.030140791
0.016297487,0.040930611
0.014623537,0.038828982
0.014697484,0.036121714
0.004543489,0.043640142
-0.009154549,0.041293827
-0.00747455,0.009050122
0.008329183,-0.02413375
0.014913897,-0.036406161
0.006010845,-0.044731682
0.000150411,-0.049848152
0.006425828,-0.04077971
0.015373721,-0.031224661
0.016688558,-0.030479483
0.007645635,-0.01768155
-0.006947888,0.017439078
-0.015247501,0.045180532
-0.009894249,0.046974179
-0.004298683,0.036459577
-0.004782187,0.013740361
0.004938922,-0.013857432
0.009886291,-0.017569726
-0.00761528,-0.00845327
-0.013353204,-0.016851239
-0.006833928,-0.035034259
-0.019275312,-0.035880095
-0.025160783,-0.002229858
-0.017023084,0.044051767
-0.021260209,0.055564384
-0.014468991,0.03008099
0.005244132,0.005389928
0.006510488,-0.005875843
0.01263234,-0.019690606
0.030392096,-0.025881506
0.028851302,0.005079495
0.023257168,0.03941396
0.023196255,0.029458966
0.01141239,0.010955828
0.001501599,0.000817892
-0.001660153,-0.029886066
-0.00956631,-0.042594869
-0.012889263,-0.020897439
-0.011798831,-0.016697276
-0.01336225,-0.018505518
-0.012170213,-0.001763925
-0.011066923,0.013695832
-0.008869374,0.028051878
-7.94E-05,0.027487982
0.002763425,0.005202317
-0.000759927,-0.003404105
0.004023078,-0.00584254
0.008560628,-0.020841
0.008021932,-0.024710643
0.017452026,-0.014491866
0.022848124,-0.005915751
0.004952268,-0.002039979
-0.007876372,0.002664931
0.000356072,0.014904064
0.001472599,0.020639055
-0.007587997,0.014744069
-0.010283545,0.016956028
-0.010237234,0.018967612
-0.00624538,0.008067785
2.52E-05,0.002444317
0.000572814,7.71E-05
0.001880986,-0.012127142
-0.006191785,-0.017544471
-0.025947318,-0.01150597
-0.024817905,-0.010242039
-0.009506382,-0.007891379
-0.008509266,0.004911011
-0.007950312,0.011027598
0.007216942,-0.001172326
0.030307582,-0.012274605
0.042272661,-0.008790788
0.030877929,-0.005671111
0.015644385,-0.006722182
0.00521843,0.001511095
-0.010272991,0.016294916
-0.01839243,0.027021129
-0.008667148,0.023894231
0.006563204,0.001365034
0.011841005,-0.015835846
0.007969809,-0.004108005
0.006592442,0.012183842
0.000463133,0.003223814
-0.013976265,-0.020267564
-0.015463341,-0.031649286
-0.013198841,-0.024886059
-0.031952727,-0.012699742
-0.04049969,-0.000637058
-0.014390847,0.009862799
0.006849932,0.010267208
0.013764673,0.00669437
0.029747049,0.012028411
0.031286518,0.01715933
0.014744494,0.016528743
0.012629991,0.021278698
0.010344478,0.021490791
0.000216853,0.00231312
0.005035015,-0.011586493
0.008201474,-0.003789352
-0.001403012,-0.00307152
-0.006534841,-0.014079469
-0.011986344,-0.012442864
-0.017961783,-0.010034859
-0.016403713,-0.019248754
-0.016548504,-0.021414921
-0.014153829,-0.015962955
-0.006522736,-0.011234524
-0.009918632,-0.000347404
-0.013114036,0.011453196
0.001365224,0.015128721
0.013970879,0.018471325
0.009875894,0.025996482
0.003086471,0.02525474
0.004909395,0.010828528
0.007350824,-0.00106576
0.004269565,-0.009462525
0.009430291,-0.025943323
0.022114554,-0.034794468
0.022473808,-0.029236646
0.01673329,-0.017586417
0.01332324,0.009097121
0.005005663,0.03182104
0.001208393,0.026853403
-0.00208938,0.020651183
-0.018451634,0.021657343
-0.023322927,0.011624352
-0.010906772,-0.000552088
-0.009375397,-0.007653863
-0.008968377,-0.010815374
0.001248928,-0.007298716
0.002050561,-0.004698648
0.001299915,-0.001358495
0.005347195,0.005427521
-0.005471091,0.001889891
-0.020088803,-0.005459881
-0.022096886,-2.75E-05
-0.022062558,0.005056761
-0.017391672,-0.002198918
-0.005335031,-0.006762447
0.003675332,-0.002448018
0.011579971,-0.005745344
0.01578094,-0.020474126
0.015711539,-0.029296809
0.026345162,-0.0239803
0.034411248,-0.012865626
0.021599835,-0.005142746
0.010038475,-0.00103425
0.007897512,0.006209289
0.000703755,0.015631757
-0.004502388,0.021761158
-0.009187565,0.025348661
-0.021810232,0.021483281
-0.02535551,0.011417632
-0.017062885,0.009975541
-0.010060486,0.014191156
-0.000119799,0.014517199
0.006281941,0.012006367
-0.001912751,0.00291651
-0.00732582,-0.001992883
0.005911577,0.007671633
0.02772454,0.00379715
0.035949228,-0.019755167
0.023160446,-0.023508292
0.007176101,-0.012767154
-0.005947628,-0.026567494
-0.022773068,-0.042361349
-0.032438752,-0.024264334
-0.032503836,-0.001687989
-0.028469625,0.002424273
-0.014351119,0.013733633
-0.000944498,0.031193235
0.000446812,0.028753938
0.002334234,0.017950774
0.008329905,0.015543005
0.015673086,0.007540762
0.027456437,-0.009828884
0.03152155,-0.020273666
0.018117451,-0.015019659
0.001346368,-0.001557504
-0.008388509,0.001133902
-0.014621321,-0.006004976
-0.015872867,-0.002350977
-0.011588117,0.004216949
-0.010077821,-0.005640064
-0.010294902,-0.022275154
-0.002392112,-0.029811974
0.012406796,-0.023350254
0.02426178,-0.000825515
0.026486313,0.028646155
0.021557267,0.042274149
0.015290833,0.034463385
0.003927872,0.025624197
-0.012761592,0.019506675
-0.024618129,0.003330862
-0.029770769,-0.01682567
