Biceps_FaseInicialFilter,Biceps_FaseFinalFilter
-0.00158107,-0.000722838
0.001024829,-0.000573039
0.004251607,-0.006530496
0.006017609,-0.007251652
0.000557292,0.002265209
-0.002670808,0.010523631
5.18E-05,0.011008943
-0.00423323,0.001757898
-0.007005002,-0.006077569
0.002239888,-0.002982151
0.004052942,0.000289566
-0.004453588,0.000346001
-0.003009531,0.000660798
0.003055354,-0.001502559
0.000520094,-0.003308839
-0.001714584,-0.004535985
0.003354532,-0.004167654
0.007671978,0.00131263
0.003013853,0.001759654
-0.004314126,-0.002233262
-0.003198907,0.002916569
0.000546854,0.00878534
0.000529666,0.004268269
-0.000354184,-0.002760824
-0.00196623,-0.006639316
0.002540308,-0.008016208
0.00715941,-0.004702543
-0.002287061,0.004663164
-0.00516895,0.013640828
0.00250002,0.012049241
-0.004172615,0.004182024
-0.008137971,0.001723002
0.001482516,-0.000879659
0.001683426,-0.008259913
0.000464195,-0.008809407
0.004613458,-0.002540253
0.001093329,-0.001162652
0.001522277,-0.004747479
0.006858811,-0.007476215
-0.000264513,-0.007788187
-0.008433275,-0.005969993
-0.005112831,0.000348474
-0.000233617,0.009154342
0.001800286,0.008124415
0.001551773,0.000254749
-0.001014076,0.000711388
-0.000671063,0.002618331
0.002048337,0.001553016
0.002205553,0.005000004
0.000392531,0.003125241
-0.001949934,-0.001658249
-0.00231912,0.004552436
0.000423577,0.008069815
0.000590914,0.001335521
-0.001593888,-0.004206832
0.000395852,-0.005160055
0.002440979,-0.000494664
4.92E-05,0.000105479
0.000554763,-0.008345546
0.003944692,-0.003639054
0.002171087,0.00910126
-0.00079686,0.002207674
-0.000680247,-0.006651556
-0.002443272,-0.000919794
-0.004543657,-0.004035517
-0.003858528,-0.011110236
-0.002377236,-0.001973998
0.001362354,0.003942765
0.006735062,0.00113067
0.010096535,0.008626158
0.008216263,0.012295615
-0.002372698,0.001410573
-0.011518886,-0.003294333
-0.007053615,-0.00169654
-0.000252627,-0.005525253
-0.002085355,-0.006410142
-0.004212729,-0.002755064
-0.001042794,-0.001868379
0.002012894,0.002346124
0.001160277,0.009920438
0.001182587,0.006970178
0.003753577,-0.002572781
0.001771795,-0.002708112
-0.00058894,0.000664645
0.003110954,-0.003820588
0.003021574,-0.005973947
-0.000132589,0.002603951
0.001889163,0.010340945
0.00124762,0.005947594
-0.001944722,-0.005315301
-0.002894031,-0.006335625
-0.006487851,0.003643069
-0.00390654,0.003056189
0.005168484,-0.005308359
0.003119658,-0.003246602
-0.001211961,-0.000752468
0.002102599,-0.001407306
-0.000289079,0.002985145
-0.003428934,0.000819552
0.000209056,-0.003589283
-0.001083705,0.002523818
-0.002543434,0.002884756
0.004056749,-0.00409743
0.004816025,-0.002304936
-0.001759153,0.000699091
-0.001522114,-0.000123705
0.001499242,0.000448875
0.001071714,-0.002850986
0.00318535,-0.004414194
0.00195758,0.003031306
-0.005217617,0.005591756
